Bedroom,Bathroom,Sqft,Price,Parking,Address,Yearbuild
2 Beds,2 Baths,885 sqft,"$359,900",1 Carport Spaces,"1979 Avenida Del Mexico #127San Diego, CA 92154",1987
1 Bed,1 Bath,704 sqft,"$385,000",Carport,"12007 Alta Carmel Ct #315San Diego, CA 92128",2006
5 Beds,4 Baths,"3,615 sqft","$3,500,000",3 Car Garage,"8480 Cliffridge LnLa Jolla, CA 92037",2000
3 Beds,2 Baths,"1,476 sqft","$639,900",2 Parking Spaces,"10853 Lamentin CtSan Diego, CA 92124",1977
5 Beds,6 Baths,"4,478 sqft","$12,450,000",3 Car Garage,"8244 Prestwick DrLa Jolla, CA 92037",2010
4 Beds,3 Baths,"1,500 sqft","$1,063,900",Garage,"10896 Caminito ArcadaSan Diego, CA 92131",1998
2 Beds,1 Bath,"1,092 sqft","$619,900",1 Car Garage,"3301 Spa StSan Diego, CA 92105",1951
2 Beds,2 Baths,"1,119 sqft","$679,000",1 Car Garage,"777 6th Ave #319San Diego, CA 92101",2005
3 Beds,3 Baths,"2,108 sqft","$2,999,000",2 Car Garage,"5556 Rutgers RdLa Jolla, CA 92037",1961
3 Beds,2 Baths,"1,326 sqft","$1,348,900",Garage,"1828 Cable StSan Diego, CA 92107",1984
3 Beds,2 Baths,"1,496 sqft","$975,000",1 Car Garage,"2823 Wyandotte AveSan Diego, CA 92117",1959
3 Beds,3 Baths,"2,095 sqft","$1,450,000",2 Car Garage,"3012 Serbian PlSan Diego, CA 92117",1975
2 Beds,2 Baths,"1,103 sqft","$499,900",1 Parking Spaces,"10425 Caminito Cuervo #10425O-224San Diego, CA 92108",1977
3 Beds,2 Baths,"1,113 sqft","$695,000",Carport,"9546 Easter WaySan Diego, CA 92121",1973
2 Beds,2 Baths,960 sqft,"$568,000",Garage,"1411 Robinson Ave #3San Diego, CA 92103",1982
2 Beds,2 Baths,"1,611 sqft","$779,000",2 Car Garage,"2759 Piantino CirSan Diego, CA 92108",2004
5 Beds,3 Baths,"3,331 sqft","$1,850,000",3 Car Garage,"7040 Chapala Canyon CtSan Diego, CA 92129",2003
3 Beds,2 Baths,"1,505 sqft","$1,399,000",Open Parking,"3417 Albatross StSan Diego, CA 92103",1914
3 Beds,2 Baths,"1,496 sqft","$898,000",1 Car Garage,"3534 Marathon DrSan Diego, CA 92123",1960
2 Beds,1 Bath,756 sqft,"$315,000",Garage,"4334 College AveSan Diego, CA 92115",1976
1 Bed,1 Bath,724 sqft,"$289,000",1 Car Garage,"5980 Dandridge Ln #225San Diego, CA 92115",1985
3 Beds,2 Baths,"1,422 sqft","$270,000",2 Carport Spaces,"3340 Del Sol Blvd #209San Diego, CA 92154",2020
1 Bed,1 Bath,691 sqft,"$363,000",1 Car Garage,"1480 Broadway #2406San Diego, CA 92101",2004
5 Beds,5 Baths,"3,363 sqft","$1,675,000",2 Car Garage,"4502 Chinook CtSan Diego, CA 92117",2018
3 Beds,2 Baths,"1,440 sqft","$85,000",No Info,"3340 Del Sol Blvd #97San Diego, CA 92154",1978
3 Beds,1 Bath,"1,006 sqft","$675,000",2 Car Garage,"6581 Clara Lee AveSan Diego, CA 92120",1958
4 Beds,2 Baths,"1,302 sqft","$600,000",1 Car Garage,"837 Raven StSan Diego, CA 92102",1971
2 Beds,1 Bath,862 sqft,"$558,100",Garage,"1907 Robinson Ave #108San Diego, CA 92104",1976
3 Beds,2 Baths,"1,564 sqft","$719,000",2 Car Garage,"6880 Birchwood StSan Diego, CA 92120",1956
2 Beds,2 Baths,950 sqft,"$568,900",1 Parking Spaces,"15347 Maturin Dr #102San Diego, CA 92127",1995
2 Beds,1 Bath,920 sqft,"$419,000",Carport,"4185 Mount Alifan Pl #LSan Diego, CA 92111",1973
4 Beds,3 Baths,"1,552 sqft","$545,000",Garage,"1725 Manzana WaySan Diego, CA 92139",1984
2 Beds,2 Baths,"1,440 sqft","$125,000",No Info,"3340 Del Sol Blvd #229San Diego, CA 92154",1977
6 Beds,9 Baths,"15,264 sqft","$15,995,000",5 Car Garage,"6691 Duck Pond LnSan Diego, CA 92130",2008
3 Beds,2 Baths,950 sqft,"$630,000",2 Car Garage,"7891 Gribble StSan Diego, CA 92114",1962
6 Beds,5 Baths,"3,820 sqft","$2,798,000",2 Car Garage,"540 Otsego DrSan Diego, CA 92103",2016
2 Beds,2 Baths,881 sqft,"$509,900",1 Carport Spaces,"10319 Azuaga St #301San Diego, CA 92129",1990
5 Beds,6 Baths,"2,848 sqft","$13,900,000",2 Car Garage,"310 Dunemere DrLa Jolla, CA 92037",2014
3 Beds,3 Baths,"1,859 sqft","$1,599,000",Garage,"306 Kolmar StLa Jolla, CA 92037",2021
2 Beds,3 Baths,"1,231 sqft","$849,900",2 Car Garage,"13520 Jadestone WaySan Diego, CA 92130",1995
3 Beds,2 Baths,"1,127 sqft","$609,900",Garage,"9380 Twin Trails Dr #101San Diego, CA 92129",1987
3 Beds,3 Baths,"1,616 sqft","$1,045,000",Garage,"1441 9th Ave #2201San Diego, CA 92101",2008
4 Beds,4 Baths,"4,683 sqft","$6,995,000",Garage,"1228 Park RowLa Jolla, CA 92037",2016
1 Bed,1 Bath,628 sqft,"$319,900",1 Car Garage,"702 Ash St #500San Diego, CA 92101",1929
